RecordID,ProductID,StartingDate,EndDate,Cost
64,1,09/12/2025,09/09/2026,"$3,214.40"
65,2,09/12/2025,09/09/2026,"$3,153.55"
66,3,09/12/2025,09/09/2026,"$3,201.36"
67,4,09/12/2025,09/09/2026,"$3,056.34"
68,5,09/12/2025,09/09/2026,"$2,236.10"
69,6,09/12/2025,09/09/2026,"$3,214.40"
70,7,09/12/2025,09/09/2026,"$2,142.93"
71,8,09/12/2025,09/09/2026,"$2,142.93"
72,9,09/12/2025,09/09/2026,"$3,214.40"
73,10,09/12/2025,09/09/2026,"$3,056.34"
74,11,09/12/2025,09/09/2026,"$3,201.36"
75,12,09/12/2025,09/09/2026,"$3,153.55"
76,13,09/12/2025,09/09/2026,"$3,214.40"
77,14,13/03/2026,09/09/2026,"$1,354.43"
78,15,13/03/2026,09/09/2026,"$1,330.09"
79,16,13/03/2026,09/09/2026,"$1,349.21"
80,17,13/03/2026,09/09/2026,"$1,291.20"
81,18,15/05/2026,09/09/2026,"$1,331.00"
82,19,15/05/2026,09/09/2026,"$6,428.80"
83,20,15/05/2026,09/09/2026,"$6,307.09"
84,21,15/05/2026,09/09/2026,"$6,402.72"
85,22,15/05/2026,09/09/2026,"$6,112.68"
86,23,21/06/2026,09/09/2026,"$1,444.66"
