Inventory ID,InventoryDetailsID,OrderID,ProductID,DateTime,Amount
1,1,,1,2026-08-22,7
2,2,,2,2026-08-22,13
2,3,,3,2026-08-22,12
2,4,,4,2026-08-22,11
2,5,,5,2026-08-22,17
2,6,,7,2026-08-22,17
2,7,,8,2026-08-22,14
2,8,,14,2026-08-22,7
2,9,,15,2026-08-22,6
2,10,,16,2026-08-22,7
2,11,,17,2026-08-22,5
2,12,,19,2026-08-22,2
3,13,,1,2026-08-22,-3
4,14,,1,2026-08-22,3
5,15,,2,2026-08-22,-11
6,16,,2,2026-08-22,11
7,17,,3,2026-08-22,-7
8,18,,3,2026-08-22,7
9,19,,4,2026-08-22,-7
10,20,,4,2026-08-22,7
11,21,,5,2026-08-22,-8
12,22,,5,2026-08-22,8
13,23,,7,2026-08-22,-7
14,24,,7,2026-08-22,7
15,25,,8,2026-08-22,-8
16,26,,8,2026-08-22,8
17,27,,14,2026-08-22,-7
18,28,,14,2026-08-22,7
19,29,,15,2026-08-22,-6
20,30,,15,2026-08-22,6
21,31,,16,2026-08-22,-6
22,32,,16,2026-08-22,6
23,33,,17,2026-08-22,-4
24,34,,17,2026-08-22,4
25,35,,1,2026-08-22,-3
26,36,,1,2026-08-22,3
27,37,,2,2026-08-22,-2
28,38,,2,2026-08-22,2
29,39,,3,2026-08-22,-5
30,40,,3,2026-08-22,5
31,41,,4,2026-08-22,-4
32,42,,4,2026-08-22,4
33,43,,5,2026-08-22,-9
34,44,,5,2026-08-22,9
35,45,,7,2026-08-22,-10
36,46,,7,2026-08-22,10
37,47,,8,2026-08-22,-6
38,48,,8,2026-08-22,6
39,49,,16,2026-08-22,-1
40,50,,16,2026-08-22,1
41,51,,17,2026-08-22,-1
42,52,,17,2026-08-22,1
44,58,,1,2026-08-22,-4
45,59,,1,2026-08-22,4
46,60,Ord-2143,1,2026-08-22,-2
47,61,Ord-2143,7,2026-08-22,-1
48,62,,6,2026-08-22,7
49,63,Ord-2144,1,2026-08-22,-2
50,64,Ord-2144,2,2026-08-22,-1
51,65,Ord-2144,7,2026-08-22,-2
52,66,Ord-2145,2,2026-08-22,-1
53,67,Ord-2146,19,2026-08-22,-2
56,70,,1,2026-08-22,23
57,71,,1,2026-08-22,-20
58,72,,1,2026-08-22,20
59,73,,1,2026-08-22,-3
60,74,,1,2026-08-22,3
61,75,Ord-2147,2,2026-08-23,-1
62,76,Ord-2147,5,2026-08-23,-2
63,77,Ord-2147,7,2026-08-23,-2
64,78,Ord-2148,1,2026-08-23,-1
65,79,Ord-2149,7,2026-08-23,-2
66,80,,6,2026-08-23,8
67,81,,1,2026-08-23,8
67,82,,3,2026-08-23,1
67,83,,4,2026-08-23,1
67,84,,2,2026-08-23,7
67,85,,7,2026-08-23,4
67,86,,5,2026-08-23,5
67,87,,6,2026-08-23,1
67,88,,15,2026-08-23,2
68,89,,1,2026-08-23,8
68,90,,3,2026-08-23,4
68,91,,4,2026-08-23,2
69,92,,5,2026-08-23,-5
70,93,,5,2026-08-23,5
71,94,,4,2026-08-23,-1
72,95,,4,2026-08-23,1
73,96,,6,2026-08-23,-1
74,97,,6,2026-08-23,1
75,98,,7,2026-08-23,-4
76,99,,7,2026-08-23,4
77,100,,3,2026-08-23,-1
78,101,,3,2026-08-23,1
79,102,,15,2026-08-23,-2
80,103,,15,2026-08-23,2
81,104,,2,2026-08-23,-3
82,105,,2,2026-08-23,3
83,106,,2,2026-08-23,-4
84,107,,2,2026-08-23,4
85,108,,1,2026-08-23,-1
86,109,,1,2026-08-23,1
87,110,,1,2026-08-23,-7
88,111,,1,2026-08-23,7
89,112,Ord-2150,14,2026-08-23,-1
90,113,Ord-2150,15,2026-08-23,-1
91,114,Ord-2151,1,2026-08-23,-2
92,115,Ord-2152,1,2026-08-23,-2
93,116,Ord-2153,1,2026-08-23,-2
94,117,Ord-2154,6,2026-08-23,-2
95,118,Ord-2155,1,2026-08-23,-2
96,119,,19,2026-08-24,8
96,120,,20,2026-08-24,2
96,121,,22,2026-08-24,4
97,122,,4,2026-08-24,2
98,123,Ord-2156,1,2026-08-25,-2
99,124,Ord-2156,3,2026-08-25,-1
100,125,Ord-2156,4,2026-08-25,-1
101,126,Ord-2157,7,2026-08-25,-3
102,127,Ord-2157,5,2026-08-25,-1
103,128,Ord-2158,16,2026-08-25,-1
104,129,Ord-2159,1,2026-08-25,-1
105,130,Ord-2159,4,2026-08-25,-1
106,131,Ord-2160,14,2026-08-25,-1
107,132,Ord-2160,17,2026-08-25,-1
108,133,Ord-2161,1,2026-08-26,-2
109,134,Ord-2162,1,2026-08-26,-1
110,135,Ord-2163,1,2026-08-26,-1
111,136,Ord-2163,4,2026-08-26,-1
112,137,,19,2026-08-26,6
112,138,,3,2026-08-26,12
112,139,,17,2026-08-26,1
113,140,,13,2026-08-26,6
113,141,,7,2026-08-26,6
114,142,,19,2026-08-26,-6
115,143,,3,2026-08-26,-12
116,144,,21,2026-08-26,6
117,145,,1,2026-08-26,12
118,146,,5,2026-08-26,6
119,147,,1,2026-08-26,-20
120,148,,1,2026-08-26,20
121,149,,3,2026-08-26,-4
122,150,,3,2026-08-26,4
123,151,,4,2026-08-26,-4
124,152,,4,2026-08-26,4
125,153,,17,2026-08-26,-1
126,154,,17,2026-08-26,1
127,155,Ord-2164,1,2026-08-26,-1
128,156,Ord-2164,3,2026-08-26,-1
129,157,,1,2026-08-26,5
130,158,,4,2026-08-27,4
131,159,,1,2026-08-27,7
131,160,,3,2026-08-27,6
132,161,,1,2026-08-27,-5
131,162,,14,2026-08-27,5
131,163,,16,2026-08-27,5
133,164,,1,2026-08-27,8
134,165,Ord-2165,17,2026-08-27,-2
135,166,Ord-2165,14,2026-08-27,-2
136,167,Ord-2165,16,2026-08-27,-1
137,168,Ord-2165,15,2026-08-27,-1
138,169,Ord-2166,1,2026-08-27,-2
139,170,Ord-2167,1,2026-08-27,-1
140,171,Ord-2168,1,2026-08-27,-2
141,172,Ord-2169,1,2026-08-27,-1
142,173,Ord-2169,6,2026-08-27,-1
143,174,,4,2026-08-27,-4
144,175,,4,2026-08-27,4
145,176,,7,2026-08-27,-6
146,177,,7,2026-08-27,6
147,178,Ord-2170,13,2026-08-28,-6
148,179,,14,2026-08-28,-5
149,180,,14,2026-08-28,5
150,181,,16,2026-08-28,-5
151,182,,16,2026-08-28,5
152,183,,14,2026-08-28,-3
