OrderDetailsID,OrderID,ProductID,Quantity,Date,PriceApplied,CostApplied
1,Ord-01,1,3,02/08/2025 15:23,9000,2371.03
4,Ord-03,9,2,03/08/2025 00:00,8500,2371.03
5,Ord-04,4,1,05/08/2025 00:00,9000,1935.93
6,Ord-05,1,2,05/08/2025 00:00,9000,2371.03
7,Ord-06,9,4,05/08/2025 00:00,8500,2371.03
12,Ord-11,9,2,05/08/2025 00:00,8500,2371.03
13,Ord-12,9,1,05/08/2025 00:00,8500,2371.03
14,Ord-12,12,1,05/08/2025 00:00,8500,2374.8
15,Ord-13,9,2,06/08/2025 00:00,8500,2371.03
16,Ord-14,9,2,06/08/2025 00:00,8500,2371.03
17,Ord-15,9,2,06/08/2025 00:00,8500,2371.03
18,Ord-16,3,1,07/08/2025 00:00,9000,2521.44
19,Ord-16,1,1,07/08/2025 00:00,9000,2371.03
20,Ord-17,2,1,07/08/2025 00:00,9000,2374.8
21,Ord-17,1,1,07/08/2025 00:00,9000,2371.03
22,Ord-18,2,1,08/08/2025 00:00,9000,2374.8
23,Ord-18,3,1,08/08/2025 00:00,9000,2521.44
24,Ord-19,5,2,08/08/2025 00:00,5600,1512.94
25,Ord-20,6,1,08/08/2025 00:00,7200,1813.27
26,Ord-21,3,1,08/08/2025 00:00,9000,2521.44
27,Ord-21,5,1,08/08/2025 00:00,5600,1512.94
28,Ord-22,6,1,11/08/2025 00:00,7200,1813.27
29,Ord-22,5,1,11/08/2025 00:00,5600,1512.94
30,Ord-22,7,1,11/08/2025 00:00,5200,1414.88
31,Ord-23,7,2,11/08/2025 00:00,5200,1414.88
32,Ord-23,5,2,11/08/2025 00:00,5600,1512.94
33,Ord-24,1,1,13/08/2025 00:00,9000,2371.03
34,Ord-24,2,1,13/08/2025 00:00,9000,2374.8
35,Ord-25,9,2,13/08/2025 00:00,8500,2371.03
36,Ord-26,9,2,13/08/2025 00:00,8500,2371.03
37,Ord-27,9,2,13/08/2025 00:00,8500,2371.03
38,Ord-28,1,1,13/08/2025 00:00,9000,2371.03
39,Ord-29,9,2,15/08/2025 00:00,8500,2371.03
40,Ord-30,9,2,15/08/2025 00:00,8500,2371.03
41,Ord-31,9,2,15/08/2025 00:00,8500,2371.03
42,Ord-32,4,2,19/08/2025 00:00,9000,1935.93
43,Ord-33,7,1,19/08/2025 00:00,5200,1414.88
44,Ord-33,9,2,19/08/2025 00:00,8500,2371.03
45,Ord-34,9,2,19/08/2025 00:00,8500,2371.03
46,Ord-35,1,1,19/08/2025 00:00,9000,2371.03
47,Ord-35,5,1,25/08/2025 00:00,5600,1512.94
48,Ord-35,7,1,25/08/2025 00:00,5200,1414.88
49,Ord-36,8,1,25/08/2025 00:00,9000,2371.03
50,Ord-36,5,1,25/08/2025 00:00,5600,1512.94
51,Ord-37,7,1,25/08/2025 00:00,5200,1414.88
52,Ord-37,1,1,25/08/2025 00:00,9000,2371.03
53,Ord-38,8,2,26/08/2025 00:00,9000,2371.03
54,Ord-38,1,1,26/08/2025 00:00,9000,2371.03
55,Ord-39,1,1,26/08/2025 00:00,9000,2371.03
56,Ord-39,3,1,28/08/2025 00:00,9000,2521.44
57,Ord-39,2,1,28/08/2025 00:00,9000,2374.8
58,Ord-39,5,1,28/08/2025 00:00,5600,1512.94
59,Ord-40,1,1,28/08/2025 00:00,9000,2371.03
60,Ord-40,8,1,28/08/2025 00:00,9000,2371.03
61,Ord-40,5,1,30/08/2025 00:00,5600,1512.94
62,Ord-40,6,1,30/08/2025 00:00,7200,1813.27
63,Ord-41,9,2,30/08/2025 00:00,8500,2371.03
64,Ord-42,1,1,30/08/2025 00:00,9000,2371.03
65,Ord-43,1,2,30/08/2025 00:00,9000,2371.03
66,Ord-43,5,4,02/08/2025 15:23,5600,1512.94
67,Ord-43,7,2,02/08/2025 15:23,5200,1414.88
68,Ord-43,6,2,02/08/2025 15:23,7200,1813.27
69,Ord-44,9,2,02/08/2025 15:23,8500,2371.03
70,Ord-44,5,1,02/08/2025 15:23,5600,1512.94
71,Ord-45,9,2,02/08/2025 15:23,8500,2371.03
72,Ord-46,9,6,02/08/2025 15:23,8500,2371.03
73,Ord-47,8,1,02/08/2025 15:23,9000,2371.03
74,Ord-47,1,1,02/08/2025 15:23,9000,2371.03
75,Ord-47,7,2,02/08/2025 15:23,5200,1414.88
76,Ord-48,1,1,02/08/2025 15:23,9000,2371.03
77,Ord-48,5,2,02/08/2025 15:23,5600,1512.94
78,Ord-49,9,2,02/08/2025 15:23,8500,2371.03
79,Ord-49,8,1,02/08/2025 15:23,9000,2371.03
80,Ord-50,7,4,02/08/2025 15:23,5200,1414.88
81,Ord-50,9,4,02/08/2025 15:23,8500,2371.03
82,Ord-51,9,2,02/08/2025 15:23,8500,2371.03
83,Ord-51,3,1,02/08/2025 15:23,9000,2521.44
84,Ord-52,9,2,02/08/2025 15:23,8500,2371.03
85,Ord-53,9,2,02/08/2025 15:23,8500,2371.03
86,Ord-54,9,2,02/08/2025 15:23,8500,2371.03
87,Ord-54,8,1,02/08/2025 15:23,9000,2371.03
89,Ord-55,4,1,02/08/2025 15:23,9000,1935.93
90,Ord-55,5,1,02/08/2025 15:23,5600,1512.94
91,Ord-55,9,2,02/08/2025 15:23,8500,2371.03
92,Ord-12,9,2,02/08/2025 15:23,8500,2371.03
93,Ord-56,9,2,02/08/2025 15:23,8500,2371.03
94,Ord-57,5,1,02/08/2025 15:23,5600,1512.94
95,Ord-13,4,1,02/08/2025 15:23,9000,1935.93
96,Ord-18,9,2,02/08/2025 15:23,8500,2371.03
97,Ord-18,3,1,02/08/2025 15:23,9000,2521.44
98,Ord-58,9,2,02/08/2025 15:23,8500,2371.03
99,Ord-59,1,1,02/08/2025 15:23,9000,2371.03
100,Ord-60,4,1,02/08/2025 15:23,9000,1935.93
101,Ord-61,2,1,02/08/2025 15:23,9000,2374.8
102,Ord-61,6,1,02/08/2025 15:23,7200,1813.27
103,Ord-62,8,1,02/08/2025 15:23,9000,2371.03
104,Ord-63,9,2,02/08/2025 15:23,8500,2371.03
105,Ord-64,9,6,02/08/2025 15:23,8500,2371.03
106,Ord-64,1,2,02/08/2025 15:23,9000,2371.03
107,Ord-64,4,1,02/08/2025 15:23,9000,1935.93
108,Ord-64,2,1,02/08/2025 15:23,9000,2374.8
109,Ord-64,5,1,02/08/2025 15:23,5600,1512.94
110,Ord-65,3,1,02/08/2025 15:23,9000,2521.44
111,Ord-65,6,1,02/08/2025 15:23,7200,1813.27
112,Ord-65,5,1,02/08/2025 15:23,5600,1512.94
113,Ord-66,9,2,02/08/2025 15:23,8500,2371.03
114,Ord-67,8,2,02/08/2025 15:23,9000,2371.03
115,Ord-67,9,2,02/08/2025 15:23,8500,2371.03
116,Ord-68,1,1,02/08/2025 15:23,9000,2371.03
117,Ord-69,9,2,02/08/2025 15:23,8500,2371.03
118,Ord-69,3,1,02/08/2025 15:23,9000,2521.44
119,Ord-70,9,2,02/08/2025 15:23,8500,2371.03
120,Ord-71,1,1,02/08/2025 15:23,9000,2371.03
121,Ord-72,9,2,02/08/2025 15:23,8500,2371.03
122,Ord-72,5,1,02/08/2025 15:23,5600,1512.94
123,Ord-73,9,2,02/08/2025 15:23,8500,2371.03
124,Ord-43,8,1,02/08/2025 15:23,9000,2371.03
125,Ord-43,12,2,02/08/2025 15:23,8500,2374.8
126,Ord-43,9,2,02/08/2025 15:23,8500,2371.03
127,Ord-43,6,2,02/08/2025 15:23,7200,1813.27
128,Ord-43,5,1,02/08/2025 15:23,5600,1512.94
129,Ord-74,11,1,02/08/2025 15:23,8500,2521.44
132,Ord-74,12,1,02/08/2025 15:23,8500,2374.8
131,Ord-74,9,1,02/08/2025 15:23,8500,2371.03
130,Ord-74,10,1,02/08/2025 15:23,8500,1935.93
134,Ord-75,8,2,02/08/2025 15:23,9000,2371.03
133,Ord-75,6,2,02/08/2025 15:23,7200,1813.27
135,Ord-76,9,10,02/08/2025 15:23,8500,2371.03
137,Ord-77,11,1,02/08/2025 15:23,8500,2521.44
136,Ord-77,9,1,02/08/2025 15:23,8500,2371.03
138,Ord-78,1,1,02/08/2025 15:23,9000,2371.03
139,Ord-79,9,2,02/08/2025 15:23,8500,2371.03
140,Ord-79,4,1,02/08/2025 15:23,9000,1935.93
141,Ord-80,9,2,02/08/2025 15:23,8500,2371.03
144,Ord-82,1,1,02/08/2025 15:23,9000,2371.03
145,Ord-83,5,1,02/08/2025 15:23,5600,1512.94
146,Ord-84,9,1,02/08/2025 15:23,8500,2371.03
147,Ord-84,12,1,02/08/2025 15:23,8500,2374.8
148,Ord-84,5,1,02/08/2025 15:23,5600,1512.94
149,Ord-85,6,1,02/08/2025 15:23,7200,1813.27
150,Ord-85,8,1,02/08/2025 15:23,9000,2371.03
151,Ord-86,3,1,02/08/2025 15:23,9000,2521.44
152,Ord-81,9,1,02/08/2025 15:23,8500,2371.03
153,Ord-81,10,1,02/08/2025 15:23,8500,1935.93
154,Ord-87,9,1,02/08/2025 15:23,8500,2371.03
155,Ord-87,11,1,02/08/2025 15:23,8500,2521.44
156,Ord-88,9,1,02/08/2025 15:23,8500,2371.03
157,Ord-88,12,1,02/08/2025 15:23,8500,2374.8
158,Ord-89,1,1,02/08/2025 15:23,9000,2371.03
159,Ord-89,5,1,02/08/2025 15:23,5600,1512.94
160,Ord-90,8,4,02/08/2025 15:23,9000,2371.03
162,Ord-91,11,2,02/08/2025 15:23,8500,2521.44
161,Ord-91,9,2,02/08/2025 15:23,8500,2371.03
163,Ord-92,9,2,02/08/2025 15:23,8500,2371.03
164,Ord-93,4,1,02/08/2025 15:23,9000,1935.93
170,Ord-94,5,1,02/08/2025 15:23,5600,1512.94
166,Ord-94,10,1,02/08/2025 15:23,8500,1935.93
169,Ord-94,7,1,02/08/2025 15:23,5200,1414.88
168,Ord-94,8,3,02/08/2025 15:23,9000,2371.03
167,Ord-94,2,1,02/08/2025 15:23,9000,2374.8
165,Ord-94,9,1,02/08/2025 15:23,8500,2371.03
171,Ord-95,2,1,02/08/2025 15:23,9000,2374.8
172,Ord-96,1,1,02/08/2025 15:23,9000,2371.03
173,Ord-96,7,1,02/08/2025 15:23,5200,1414.88
174,Ord-97,8,2,02/08/2025 15:23,9000,2371.03
176,Ord-98,5,1,02/08/2025 15:23,5600,1512.94
175,Ord-98,1,1,02/08/2025 15:23,9000,2371.03
177,Ord-99,1,1,02/08/2025 15:23,9000,2371.03
178,Ord-99,6,1,02/08/2025 15:23,7200,1813.27
179,Ord-100,9,1,02/08/2025 15:23,8500,2371.03
180,Ord-100,11,1,02/08/2025 15:23,8500,2521.44
181,Ord-100,2,1,02/08/2025 15:23,9000,2374.8
182,Ord-101,1,1,02/08/2025 15:23,9000,2371.03
183,Ord-102,9,1,02/08/2025 15:23,8500,2371.03
184,Ord-102,12,1,02/08/2025 15:23,8500,2374.8
185,Ord-103,1,1,02/08/2025 15:23,9000,2371.03
186,Ord-104,1,1,02/08/2025 15:23,9000,2371.03
187,Ord-104,5,1,02/08/2025 15:23,5600,1512.94
188,Ord-105,1,2,02/08/2025 15:23,9000,2371.03
189,Ord-106,1,1,02/08/2025 15:23,9000,2371.03
190,Ord-107,1,2,02/08/2025 15:23,9000,2371.03
191,Ord-108,5,1,02/08/2025 15:23,5600,1512.94
192,Ord-109,1,1,02/08/2025 15:23,9000,2371.03
193,Ord-109,8,1,02/08/2025 15:23,9000,2371.03
194,Ord-110,9,2,02/08/2025 15:23,8500,2371.03
195,Ord-111,9,1,02/08/2025 15:23,8500,2371.03
196,Ord-111,11,1,02/08/2025 15:23,8500,2521.44
198,Ord-112,11,1,02/08/2025 15:23,8500,2521.44
197,Ord-112,9,1,02/08/2025 15:23,8500,2371.03
199,Ord-113,5,1,02/08/2025 15:23,5600,1512.94
200,Ord-113,6,1,02/08/2025 15:23,7200,1813.27
203,Ord-114,11,1,02/08/2025 15:23,8500,2521.44
201,Ord-114,1,1,02/08/2025 15:23,9000,2371.03
202,Ord-114,9,1,02/08/2025 15:23,8500,2371.03
204,Ord-115,1,1,02/08/2025 15:23,9000,2371.03
