ProductId,Product Name,Image
1,Clasico,Products_Images/3.Image.130306.png
2,Salame,Products_Images/4.Image.130343.png
3,Roquefort,Products_Images/1.Image.093448.png
4,Jamon,Products_Images/2.Image.093458.png
5,Tapas Redondas,Products_Images/7.Image.130618.png
6,Chipanchos,Products_Images/5.Image.130450.png
7,Chipanesas,Products_Images/6.Image.130535.png
8,Chipaditas,Products_Images/12.Image.133944.png
9,Promo Clasico,Products_Images/8.Image.165905.png
10,Promo Jamon,Products_Images/9.Image.165929.png
11,Promo Roquefort,Products_Images/10.Image.165942.png
12,Promo Salame,Products_Images/11.Image.170002.png
13,Tapas redonda 2.0,Products_Images/13.Image.144039.jpg
14,200G - CLASICO,Products_Images/14.Image.090123.jpg
15,200G - SALAME,Products_Images/15.Image.090137.jpg
16,200G - ROQUEFORT,Products_Images/16.Image.090150.jpg
17,200G - JAMON,Products_Images/17.Image.090207.jpg
18,Chipanesas - 2 cm,Products_Images/18.Image.133647.jpg
19,Caja 1 KG Clasicos,Products_Images/3.Image.130306.png
20,Caja 1 KG Salame,Products_Images/4.Image.130343.png
21,Caja 1 KG Roquefort,Products_Images/1.Image.093448.png
22,Caja 1 KG Jamon,Products_Images/2.Image.093458.png
23,Chipanesa - 5 mm,Products_Images/24.Image.144014.png
